exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,causalmorph_mean_shd,causalmorph_mean_norm_shd,causalmorph_mean_f1,causalmorph_mean_precision,causalmorph_mean_recall,causalmorph_cons_norm_shd,causalmorph_cons_f1,directlingam_mean_shd,directlingam_mean_norm_shd,directlingam_mean_f1,directlingam_mean_precision,directlingam_mean_recall,directlingam_cons_norm_shd,directlingam_cons_f1,icalingam_mean_shd,icalingam_mean_norm_shd,icalingam_mean_f1,icalingam_mean_precision,icalingam_mean_recall,icalingam_cons_norm_shd,icalingam_cons_f1,status,error_msg
35,1777522732,4,5,3457,4,1,0.4,1.0,0.25,1,0,3,2,2.0,0.166,0.629,0.666,0.625,11,0.917,0.154,0.083,1.0,1.5,0.125,0.7,0.666,0.75,0.917,0.154,8.0,0.667,0.0,0.0,0.0,0.917,0.154,8.0,0.667,0.0,0.0,0.0,0.917,0.154,ok,
36,1777522733,4,5,3578,4,3,0.5714,0.6667,0.5,2,1,2,4,2.75,0.229,0.559,0.562,0.583,3,0.25,0.667,0.6,0.75,2.75,0.229,0.559,0.562,0.583,0.25,0.667,5.5,0.458,0.0,0.0,0.0,0.667,0.2,5.5,0.458,0.0,0.0,0.0,0.75,0.0,ok,
37,1777522734,4,5,3551,4,2,0.3333,0.5,0.25,1,1,3,3,3.0,0.25,0.457,0.472,0.611,5,0.417,0.444,0.4,0.5,3.0,0.25,0.457,0.472,0.611,0.417,0.444,6.333,0.528,0.111,0.067,0.333,0.667,0.333,6.333,0.528,0.111,0.067,0.333,0.667,0.333,ok,
38,1777522735,4,5,3498,4,1,0.4,1.0,0.25,1,0,3,2,1.5,0.125,0.0,0.0,0.0,11,0.917,0.154,0.083,1.0,1.5,0.125,0.0,0.0,0.0,0.917,0.154,2.0,0.167,0.25,0.166,0.5,0.917,0.154,3.0,0.25,0.0,0.0,0.0,0.917,0.154,ok,
39,1777522736,4,5,3502,4,2,0.6667,1.0,0.5,2,0,2,3,1.667,0.139,0.444,0.444,0.444,5,0.417,0.286,0.25,0.333,1.667,0.139,0.444,0.444,0.444,0.417,0.286,2.667,0.222,0.111,0.111,0.111,0.417,0.286,3.333,0.278,0.0,0.0,0.0,0.583,0.0,ok,
40,1777522737,4,5,3535,4,1,0.4,1.0,0.25,1,0,3,2,3.0,0.25,0.543,0.5,0.625,8,0.667,0.5,0.333,1.0,3.0,0.25,0.543,0.5,0.625,0.667,0.5,6.5,0.542,0.0,0.0,0.0,0.667,0.5,6.5,0.542,0.0,0.0,0.0,0.667,0.5,ok,
41,1777522738,4,5,3451,4,2,0.6667,1.0,0.5,2,0,2,3,2.0,0.167,0.5,0.5,0.5,1,0.083,0.8,0.667,1.0,2.0,0.167,0.5,0.5,0.5,0.083,0.8,3.333,0.278,0.167,0.167,0.167,0.25,0.4,4.0,0.333,0.0,0.0,0.0,0.333,0.0,ok,
42,1777522739,4,5,3565,4,2,0.6667,1.0,0.5,2,0,2,3,1.333,0.111,0.675,0.667,0.75,0,0.0,1.0,1.0,1.0,1.333,0.111,0.675,0.667,0.75,0.0,1.0,3.667,0.306,0.25,0.25,0.25,0.333,0.6,5.667,0.472,0.0,0.0,0.0,0.583,0.364,ok,
43,1777522740,4,5,3512,4,2,0.6667,1.0,0.5,2,0,2,3,4.0,0.333,0.34,0.305,0.528,6,0.5,0.4,0.333,0.5,4.0,0.333,0.34,0.305,0.528,0.5,0.4,4.667,0.389,0.333,0.289,0.556,0.5,0.5,6.333,0.528,0.0,0.0,0.0,0.75,0.0,ok,
44,1777522741,4,5,3375,4,1,0.0,0.0,0.0,0,1,4,2,1.5,0.125,0.678,0.75,0.625,8,0.667,0.5,0.333,1.0,1.5,0.125,0.678,0.75,0.625,0.667,0.5,1.5,0.125,0.7,0.666,0.75,0.667,0.5,7.0,0.584,0.0,0.0,0.0,0.667,0.5,ok,
45,1777522742,4,5,3250,4,3,0.2857,0.3333,0.25,1,2,3,4,4.5,0.375,0.31,0.25,0.417,7,0.583,0.533,0.364,1.0,4.75,0.396,0.25,0.208,0.333,0.583,0.533,7.0,0.583,0.062,0.05,0.083,0.667,0.333,7.5,0.625,0.0,0.0,0.0,0.667,0.2,ok,
